review_text,label
"Absolutely love this moisturizer, very hydrating!",1
Left my skin feeling dry and itchy. Would not buy again.,0
Smells amazing and absorbs quickly. My go-to product!,1
Didn't work for me. Broke me out within a week.,0
Great texture and lightweight. Highly recommend it.,1
Terrible experience. Caused redness and irritation.,0
Perfect for daily use. Keeps my skin glowing.,1
Too oily and sticky. Disappointed with the results.,0
Love how smooth it makes my skin feel.,1
Not worth the money. Very underwhelming performance.,0
